date,name,minutes,note
2018-09-21,Task 1,11,Note 1

2001-12-31,Task 2,22,Did that really happen?  I can't remember this day.

3333-03-33,Task 3,33,So far into the future!  Nice planning!

1111-10-01,Very early thing,9901,Possibly the first ever recorded worklog item

1111-12-12,Keepin' on with the coding,400,It's been a long productive night

1111-11-11,lines test,1,

2018-09-21,"comma test, again",5,"it's taken a long, long time!"

2018-09-21,once more,5,"testing 1, 2, 3"

2018-09-21,Did a thing,54,It was done

2018-09-21,"stuff, things, etc.",4,All of 'em

2018-09-21,1 task,1,1 beer

2018-09-21,Lots of 1's,2,"1,1,1,1"

2018-09-21,Made a lot of lasagna & danced the night away,432,"what a long time, eh?"

2018-09-22,Testing new method,2,Hopefully this works

2018-09-22,testing again,1,It did last time

2015-8-15,Test,5,"another short, little test"

2018-09-22,TASK,030,NOTE
